
Max days without rain = 54 
Mean days without rain = 2.195936 

Mean daily rainfall by month:
Yr     Jan   Feb   Mar   Apr   May   Jun   Jul   Aug   Sep   Oct   Nov   Dec  
2002   NaN   NaN   NaN   NaN  6.67  8.21 19.34 19.01  5.67  5.98 21.08  6.06
2003  3.03  3.63  3.03  7.37 18.27  6.86  8.60  9.59  2.20  3.52  6.86 17.86
2004  3.69  5.26  8.60 12.62 19.50 11.60  7.37  8.85  5.08  4.26 21.51 17.70
2005 20.98  3.99  2.13  9.65  0.00  5.71 12.68 11.07  6.92  7.78 10.50  4.61
2006 12.63  4.97 14.72  6.08  3.76  6.46 11.20 12.24  4.71  7.19  5.74 10.59
2007 10.81  1.05  1.73  6.37  9.25  8.19  7.91  6.93  2.73  4.32 15.11 18.90
2008  6.51  5.44  4.03  5.27  6.56  4.86 13.29  7.64  5.55  5.06 34.37  7.18
2009  9.90 23.48 12.18  7.18 14.78  2.89 13.09 10.68  5.21 10.52 14.66  6.28
2010  8.85  5.45 11.33  8.48 14.14  6.67  3.89  7.82  2.97  3.67 14.63 15.28
2011  6.78 15.11  7.01  7.18 10.78  4.21  9.05  2.32  6.37  7.45  5.71 15.71
2012  4.32  4.39  7.96  1.63  1.02  6.35 15.44  3.79  5.00  5.46 18.71  9.25
2013  2.19   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN   NaN

Tot.  8.58  7.25  7.27  7.18  9.65  6.55 11.08  9.09  4.77  5.93 15.35 11.77
